,title,Release date,Rotten Tomatoes,Internet Movie Database,Metacritic
204,A Kid in King Arthur's Court,1995-08-11,5,4.7,34
205,The Big Green,1995-09-27,0,5.5,0
206,Frank and Ollie,,0,0,0
207,Toy Story,,0,0,0
208,Tom and Huck,1995-12-22,25,5.5,0
209,Muppet Treasure Island,1996-02-16,71,6.9,64
210,Homeward Bound II: Lost in San Francisco,1996-03-08,56,5.9,0
211,James and the Giant Peach,,0,0,0
212,The Hunchback of Notre Dame,,0,0,0
213,First Kid,1996-08-30,20,5.2,48
214,D3: The Mighty Ducks,1996-10-04,20,5.4,0
215,101 Dalmatians,1996-11-27,41,5.7,49
216,That Darn Cat,1997-02-14,13,4.7,36
217,Jungle 2 Jungle,,0,0,0
218,"Honey, We Shrunk Ourselves",,0,0,0
219,Hercules,1997-06-13,84,7.3,74
220,George of the Jungle,1997-07-16,55,5.5,53
221,Air Bud,1997-08-01,45,5.3,0
222,RocketMan,1997-10-10,20,5.9,0
223,Flubber,,0,0,0
224,Mr. Magoo,1997-12-25,7,4.0,18
225,Meet the Deedles,1998-03-27,7,4.1,0
226,Mulan,1998-06-19,86,7.6,71
227,The Parent Trap,1998-07-29,86,6.6,64
228,The Jungle Book: Mowgli's Story,,0,0,0
229,I'll Be Home for Christmas,1998-11-13,23,5.5,0
230,A Bug's Life,1998-11-20,92,7.2,77
231,Mighty Joe Young,1998-12-25,56,5.7,51
232,My Favorite Martian,1999-02-12,12,5.1,33
233,Doug's 1st Movie,1999-03-26,26,5.0,0
234,Endurance,1999-05-14,0,0,0
235,Tarzan,,0,0,0
236,Inspector Gadget,1999-07-23,20,4.2,36
237,The Straight Story,,0,0,0
238,Toy Story 2,,0,0,0
239,The Tigger Movie,,0,0,0
240,Whispers: An Elephant's Tale,2000-03-10,0,5.0,30
241,Dinosaur,2000-05-19,64,6.4,56
242,Fantasia 2000,,0,0,0
243,The Kid,2000-07-07,49,6.1,45
244,The Little Mermaid II: Return to the Sea,2000-09-19,0,0,0
245,Remember the Titans,2000-09-29,73,7.8,48
246,102 Dalmatians,2000-11-22,31,4.8,35
247,The Emperor's New Groove,,0,0,0
248,Recess: School's Out,,0,0,0
249,Lady and the Tramp II:,2001-02-27,0,0,0
250,Atlantis: The Lost Empire,,0,0,0
251,The Princess Diaries,,0,0,0
